,product_title,lowest_price,montly_sales,original_price,discount_rate,star,ratings,total_sales,favorites,brand,weight,warranty,capacity,stock,power
72,"[Free Bubble Packing] Pensonic/Midea (1.8L/2.8L) Jar Rice Cooker | PSR-2802, PSR-1802, MR-CM2224, RCJ188 Periuk Nasi 电饭锅",81.88,53,0.0,45,4.8,1300.0,2000.0,901,Pensonic,0.0,12,0.0,530,0
73,Panaletrik Korean Mini Rice Cooker 1.2L Multi Cooker Hot Pot,43.89,52,125.0,65,4.8,2600.0,4200.0,3900,Panaletrik,0.0,0,0.0,626,0
74,Sinshiro Low Sugar Rice Cooker Low Sugar Non Stick 3L Elektrik Periuk Nasi Elektrik Kecil 脫糖電飯煲 Smart Rice Cookers,199.0,26,499.0,60,4.9,260.0,554.0,488,Others,0.0,0,0.0,0,0
75,[Free Bubble Packing] (Pensonic/Cornell) Rice Cooker | PRC-6G PRC-602S PRC-1002S PRC-1802S  (Periuk Nasi 电饭锅),63.55,48,0.0,40,4.9,659.0,1100.0,568,Pensonic,0.0,0,0.0,454,0
76,𝙉𝙊𝙉 𝙎𝙏𝙄𝘾𝙆 💥 Multifunction 1.8L Electric 2 Modes Cooker Rice Noodle Soup Mini Hot Pot Smarter Design Periuk Nasi 电煮火锅,5.16,47,0.0,84,4.9,1900.0,3800.0,1300,Others,0.0,0,0.0,1563,0
77,"Multipurpose Electric Non-Stick Cooker, Fry, Steam, Rice Cooker Mini Cooker Ready Stock",19.5,47,40.0,51,4.9,458.0,824.0,418,Others,0.0,0,0.0,2948,0
78,KONKA Rice Cooker 2L With Non-stick Pan/Steaming Rack 420W (KRC-RS1),128.1,46,274.2,53,4.9,94.0,1300.0,573,Konka,0.0,0,0.0,88,0
79,Mini Rice Cooker Multi Cooker Electric Cooker Periuk Nasi Elektrik Rice Cooker Small Steamer Steamboat Pot Tefal,47.89,45,78.0,39,4.9,1300.0,2200.0,3200,Others,1000.0,12,1.2,241,200
80,Otto-1.2L Lopol Electric Non Stick Ceramic Frying Pan Rice Multi Mini Rice Cooker Periuk Nasi,19.5,45,0.0,7,4.9,463.0,911.0,290,Others,0.0,0,0.0,429,0
81,Gaabor Electric Rice Cooker GR-S30B Multifunction Cooker Steamer Kitchen Home Appliances 电饭锅电饭煲,109.0,0,169.0,36,0.0,0.0,0.0,0,Others,0.0,0,0.0,0,0
82,Panasonic Conventional Rice Cooker (3.6L) SR-WN36,185.0,29,229.0,19,4.9,304.0,608.0,248,Panasonic,0.0,0,0.0,60,0
83,Milux Electric Rice Cooker 4.5L MRC-545 MRC545 Periuk Nasi Besar Elektrik Commercial,158.8,6,0.0,10,4.9,38.0,78.0,45,Milux,0.0,12,4.5,13,0
84,Tefal Rice Cooker Pro IH Steam 10 Cups (RK820D65),899.0,4,1499.0,40,4.9,51.0,104.0,416,Tefal,0.0,0,0.0,3,0
85,Sinshiro Low Sugar Rice Cooker Low Sugar Non Stick 3L Elektrik Periuk Nasi Elektrik Kecil 脫糖電飯煲 Smart Rice Cookers,199.0,26,499.0,60,4.9,260.0,554.0,488,Others,0.0,0,0.0,0,0
86,MORGAN Electric Pressure Cooker 6L MPC-136,165.15,13,899.0,82,4.9,998.0,1800.0,200,Morgan,0.0,0,0.0,344,0
87,Milux Rice Cooker 1.8L MRC-2118,74.7,1,83.9,11,4.9,38.0,56.0,20,Milux,0.0,12,0.0,13,0
88,Cuckoo CR-0810F 1.4 Liter  Micom Rice Cooker and Warmer,260.0,2,410.0,37,5.0,23.0,38.0,88,Cuckoo,0.0,0,0.0,55,0
89,Xiaomi Mi Smart Mini Rice Cooker No IH Induction Heating 1.6L / 3L C1 Appointment LED Display Automatic Electric Cooker,99.0,44,0.0,68,5.0,501.0,1000.0,1200,Xiaomi,4400.0,3,3.0,435,650
90,Cassa 2 Layer/ 3 Layer Zigwave Microwave Oven Rice Cooker Rack Kitchen Dapur shelf Organizer Storage ( Option: Drawer ),30.0,44,0.0,70,4.9,775.0,1400.0,1800,Others,0.0,0,0.0,0,0
91,Primada Smart Rice Cooker PSCL301,159.0,44,318.0,50,4.9,1400.0,2400.0,200,Primada,0.0,12,0.0,435,0
92,"MIDEA Mini Rice Cooker 0.6L Conventional Periuk Nasi (MG-GP06B, MGGP06B)",46.9,43,0.0,33,4.9,751.0,1300.0,472,Midea,0.0,12,1.0,85,0
93,READY STOCK UDC😋 1.2L Retro Rice Cooker non stick multifunctional minimalist family gift periuk nasi Electric Mini Kecil,44.88,43,69.0,36,4.9,307.0,541.0,631,Others,0.0,0,0.0,272,0
94,Haier 1.0L Conventional Rice Cooker HRC-GX10A,49.0,43,79.0,38,4.8,42.0,71.0,41,Haier,0.0,0,0.0,3,0
95,"""12.12 SALE"" Oven Rack Microwave Rack Expandable Adjustable Storage Rack Multi-layer Kitchen Rice Cooker Seasoning Oven",49.9,42,0.0,0,4.9,89.0,211.0,100,Others,0.0,0,0.0,89,0
96,MMX Pressure Cooker Rice Cooker Stainless Steel Pot (8L) MMXYBD8-135R Ewant Classic,208.88,41,0.0,74,4.9,3300.0,5000.0,2300,Kelen Munoz MMX,0.0,1,0.0,306,0
97,Philips Viva Collection Rice Cooker HD3132 | HD3132/60,177.0,41,263.0,33,4.9,2200.0,3700.0,300,Others,0.0,0,0.0,119,0
98,KIMI Multifunction Cooker Electric Cooker Nonstick Pan Frying Pan Mini Rice Cooker Steamer Periuk Nasi  Hot Pot 1.8L,45.9,41,0.0,55,4.9,292.0,526.0,434,Others,0.0,0,0.0,152,0
99,日本千寿 Low Sugar Rice Cooker 低糖电饭锅 6-in-1 Multi Purpose Desugar Rice Cooker/Ready Stock/Local Warranty 健康低糖多功能电饭锅,229.0,26,0.0,58,4.9,124.0,254.0,274,Others,5000.0,3,5.0,0,500
100,Microwave Oven Rack Stainless Steel Rak Ketuhar Kitchen Rack Rice Cooker Toaster Rack Rak Dapur Rak,49.5,40,0.0,50,4.9,1900.0,3400.0,2200,Others,0.0,12,0.0,303,0
101,Singer 0.6L Rice Cooker RC06,57.0,40,65.0,12,4.9,501.0,783.0,415,Singer,0.0,0,0.0,91,0
102,【Ready Stock Msia】 2 Tier Wooden Microwave Oven Rack Rice Cooker Storage Rack Kitchen Shelf Organizers,33.0,38,0.0,0,4.8,2500.0,4200.0,3400,Others,0.0,0,0.0,61,0
103,Midea 0.6L Mini Conventional Rice Cooker Periuk Nasi Kecil (MG-GP06B),44.8,38,0.0,35,4.9,995.0,1500.0,609,Midea,0.0,12,0.6,36,417
104,Purple Electric Multi Cooker 3.8L Frying Pan Grill Hot Pot Food Steamer Rice Cooker 2.0L/ 3.8L Steamboat,29.68,38,0.0,64,4.9,817.0,1500.0,1400,Others,0.0,0,0.0,0,0
105,Mini Rice Cooker 1.2L Small Rice Cookers Cooking Pot Electric Cooker with Non-stick Pot,47.99,38,0.0,0,4.9,46.0,81.0,63,Others,0.0,0,0.0,1776,0
106,Mynazaa---1.2L Electric 2 Layer Non Stick Rice Cooker Steamboat Fry Steamer Cooker,18.0,37,0.0,10,4.9,217.0,405.0,190,Others,0.0,0,0.0,1096,0
